127.0.0.1 - - [14/Jun/2021:09:18:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:18:23 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:18:59 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:19:00 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:19:03 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:19:04 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:19:05 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:20:12 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:20:14 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:20:16 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:20:17 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:20:18 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:20:18 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:20:18 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:20:19 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:09:20:19 +0900] "GET /Lecture-Web/javascript/array/exam01.html HTTP/1.1" 304 -
