127.0.0.1 - - [15/Jun/2021:09:24:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:24:18 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:24:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:24:33 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:28:38 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:29:01 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:31:40 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:31:57 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:33:57 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:34:12 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:34:21 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:34:22 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:34:36 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:37:34 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:37:55 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:38:09 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:38:10 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:38:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:40:07 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:40:09 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:41:05 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:43:06 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:43:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:43:15 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:43:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:43:39 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:44:04 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 2699
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:45:33 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:45:36 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:45:38 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:46:33 +0900] "GET /Lecture-Web/javascript/object/exam08.html HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:54:04 +0900] "GET /Lecture-Web/javascript/object/exam09.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:54:20 +0900] "GET /Lecture-Web/javascript/object/exam09.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:56:44 +0900] "GET /Lecture-Web/javascript/object/exam09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:58:18 +0900] "GET /Lecture-Web/javascript/object/exam09.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:59:43 +0900] "GET /Lecture-Web/javascript/object/exam09.html HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [15/Jun/2021:09:59:59 +0900] "GET /Lecture-Web/javascript/object/exam09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2021:10:00:16 +0900] "GET /Lecture-Web/javascript/object/exam09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2021:10:00:45 +0900] "GET /Lecture-Web/javascript/object/exam09.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [15/Jun/2021:10:00:46 +0900] "GET /Lecture-Web/javascript/object/exam09.html HTTP/1.1" 304 -
