127.0.0.1 - - [06/Jul/2021:11:38:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jul/2021:11:38:58 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [06/Jul/2021:11:38:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2021:11:40:39 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [06/Jul/2021:11:41:51 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 762
192.168.217.33 - - [06/Jul/2021:11:44:27 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 762
192.168.217.33 - - [06/Jul/2021:11:44:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2021:12:27:37 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [06/Jul/2021:12:31:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jul/2021:12:31:55 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [06/Jul/2021:12:31:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2021:12:32:34 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [06/Jul/2021:12:32:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:16:58 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:18:11 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:18:50 +0900] "GET /webcam-test/jsp/webcam.jsp%20https://webrtclab.herokuapp.com/screen-share/ HTTP/1.1" 404 905
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:20:36 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:20:36 +0900] "GET /webcam-test/jsp/js/main.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:22:32 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:22:32 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:22:32 +0900] "GET /css/github-gist.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:22:32 +0900] "GET /js/lib/jquery.js HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:22:32 +0900] "GET /js/helpers/object.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:22:32 +0900] "GET /js/base.js HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:22:32 +0900] "GET /js/lib/DetectRTC.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:22:32 +0900] "GET /js/lib/highlight.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:22:32 +0900] "GET /js/helpers/object.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:22:32 +0900] "GET /js/lib/highlight.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:22:32 +0900] "GET /js/base.js HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:22:32 +0900] "GET /img/logo-webrtc.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:17 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 2176
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:17 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:17 +0900] "GET /css/github-gist.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:17 +0900] "GET /js/lib/jquery.js HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:17 +0900] "GET /js/lib/DetectRTC.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:17 +0900] "GET /js/helpers/object.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:17 +0900] "GET /js/lib/highlight.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:17 +0900] "GET /js/base.js HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:21 +0900] "GET /webcam-test/jsp/webcam.jsp HTTP/1.1" 200 2176
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:21 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:21 +0900] "GET /css/github-gist.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:21 +0900] "GET /js/lib/DetectRTC.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:21 +0900] "GET /js/lib/jquery.js HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:21 +0900] "GET /js/helpers/object.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:21 +0900] "GET /js/lib/highlight.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:21 +0900] "GET /js/base.js HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:21 +0900] "GET /js/lib/DetectRTC.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:21 +0900] "GET /js/helpers/object.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:21 +0900] "GET /js/lib/highlight.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Jul/2021:13:23:21 +0900] "GET /js/base.js HTTP/1.1" 404 821
