127.0.0.1 - - [11/Jun/2021:09:23:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:23:52 +0900] "GET /Lecture-Web/css/images/exam11.html HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:48 +0900] "GET /Lecture-Web/css/images/exam11.html HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:48 +0900] "GET /Lecture-Web/css/images/images/keyboard-cat.png HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:48 +0900] "GET /Lecture-Web/css/images/images/nope.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:48 +0900] "GET /Lecture-Web/css/images/images/cat.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:48 +0900] "GET /Lecture-Web/css/images/images/dog.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:58 +0900] "GET /Lecture-Web/css/images/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:58 +0900] "GET /Lecture-Web/css/images/images/cat.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:58 +0900] "GET /Lecture-Web/css/images/images/dog.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:58 +0900] "GET /Lecture-Web/css/images/images/nope.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:58 +0900] "GET /Lecture-Web/css/images/images/keyboard-cat.png HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:51 +0900] "GET /Lecture-Web/css/images/exam11.html HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:51 +0900] "GET /Lecture-Web/css/images/images/cat.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:51 +0900] "GET /Lecture-Web/css/images/images/dog.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:51 +0900] "GET /Lecture-Web/css/images/images/nope.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:51 +0900] "GET /Lecture-Web/css/images/images/keyboard-cat.png HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:53 +0900] "GET /Lecture-Web/css/images/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:53 +0900] "GET /Lecture-Web/css/images/images/dog.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:53 +0900] "GET /Lecture-Web/css/images/images/keyboard-cat.png HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:53 +0900] "GET /Lecture-Web/css/images/images/nope.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:53 +0900] "GET /Lecture-Web/css/images/images/cat.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:56 +0900] "GET /Lecture-Web/css/images/images/dog.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:07 +0900] "GET /Lecture-Web/css/images/exam11.html HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:07 +0900] "GET /Lecture-Web/css/images/exam11.html HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:11 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:11 +0900] "GET /Lecture-Web/css/images/dog.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:11 +0900] "GET /Lecture-Web/css/images/cat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:11 +0900] "GET /Lecture-Web/css/images/nope.gif HTTP/1.1" 200 50236
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:11 +0900] "GET /Lecture-Web/css/images/keyboard-cat.png HTTP/1.1" 200 44496
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:24 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:24 +0900] "GET /Lecture-Web/css/images/dog.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:24 +0900] "GET /Lecture-Web/css/images/nope.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:30 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:30 +0900] "GET /Lecture-Web/css/images/dog.jpg HTTP/1.1" 200 74192
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:31 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
